beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Watzl's Beach,2014-08-05,4.2,7.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-08-12,21.2,5.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-08-19,195.5,13.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-08-26,18.4,12.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-16,1,12.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-17,7.7,11.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-18,16.1,12.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-06-09,4.9,4.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-06-16,4.5,4.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-06-23,32.5,8.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-06-30,20.3,11,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-07-07,7.7,10.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-07-14,17.9,13.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-07-21,4.9,13.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-07-28,877.2,26.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-07-30,2.8,18,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-04,145.3,25,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-07,57.2,34.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-11,12.7,30.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-13,15,27.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-18,1,19.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2015-08-25,24.5,23.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-05-24,1.4,1.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-06-01,4.2,2.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-06-07,27.1,5.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-06-14,58.9,9.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-06-21,16.5,11,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-06-28,13.1,17.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-07-05,11.6,20.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-07-12,40,22.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-07-19,32.6,20.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-07-26,29.4,22.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-08-02,8.5,20.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-08-09,21.2,23.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-08-23,22.7,18.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2016-08-31,21,17.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-05-30,13.8,13.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-06-06,2.8,6.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-06-13,69.4,13.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-06-20,10.5,13,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-06-27,4.5,10.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-07-05,3.2,7.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-07-11,21,11.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-07-18,1,5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-07-25,116,8.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-01,20.4,10.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-08,8,13.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-15,334.1,22.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-16,16.5,21.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-22,31.4,38.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-29,711.8,52.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-08-30,1353.9,83,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-09-05,192.8,114.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2017-09-12,613.6,212.8,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Watzl's Beach,2018-05-22,2.2,2.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-06-05,5.7,3.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-06-12,93.9,10.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-06-19,9,10.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-06-26,2.4,10.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-07-02,21.4,12.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-07-10,2.4,10.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-07-17,1,4.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-07-24,2.6,3.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-07-31,13.9,4.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-08-07,3.5,3.2,,N,NA,PriorLake,70002600,mpn
