Date,Ecoli_units,BeachName,Ecoli_1dGM,Ecoli_30dGM,ClosureYN,ClosureReason,MonitoringOrg,DOW
2011-06-28,cfu,Crystal Beach,9.999999999999998,23.206569313400557,N,NA,Burnsville,19002700
2011-07-05,cfu,Crystal Beach,6.197154434741126,21.555622687579007,N,NA,Burnsville,19002700
2011-07-12,cfu,Crystal Beach,14.910579097207043,22.4388726240515,N,NA,Burnsville,19002700
2011-07-18,cfu,Crystal Beach,91.81437050658641,33.6627759645766,N,NA,Burnsville,19002700
2011-07-25,cfu,Crystal Beach,11.887843905526259,15.875964421269954,N,NA,Burnsville,19002700
2011-08-02,cfu,Crystal Beach,34.99047359778746,20.395299213475166,N,NA,Burnsville,19002700
2011-08-08,cfu,Crystal Beach,20.800838230519037,25.984106321084248,N,NA,Burnsville,19002700
2011-08-15,cfu,Crystal Beach,43.599674547973265,32.203682179708785,N,NA,Burnsville,19002700
2011-08-22,cfu,Crystal Beach,12.830137319983304,21.725494015207406,N,NA,Burnsville,19002700
2011-08-29,cfu,Crystal Beach,18.110432210393054,23.633867960840767,N,NA,Burnsville,19002700
2012-05-29,cfu,Crystal Beach,42.058874349228404,42.058874349228404,N,NA,Burnsville,19002700
2012-06-04,cfu,Crystal Beach,4.641588833612778,13.97211514172788,N,NA,Burnsville,19002700
2012-06-11,cfu,Crystal Beach,9.524406311809196,12.2966668977744,N,NA,Burnsville,19002700
2012-06-18,cfu,Crystal Beach,1511.9052598738472,40.9469634650403,Y,Ecoli_1dGM,Burnsville,19002700
2012-06-20,cfu,Crystal Beach,76.63094323935529,46.41498292692495,N,NA,Burnsville,19002700
2012-06-25,cfu,Crystal Beach,0.01038498820370221,11.436228666573468,N,NA,Burnsville,19002700
2012-07-02,mpn,Crystal Beach,14.986654797225238,9.62921034131548,N,NA,Burnsville,19002700
2012-07-09,cfu,Crystal Beach,14.227573217960249,11.60561165028499,N,NA,Burnsville,19002700
2012-07-16,cfu,Crystal Beach,102.5985568006018,17.247199633639493,N,NA,Burnsville,19002700
2012-07-23,cfu,Crystal Beach,23.20794416806389,5.551417533054679,N,NA,Burnsville,19002700
2012-07-30,cfu,Crystal Beach,65.5185348552224,31.944458200267213,N,NA,Burnsville,19002700
2012-08-06,cfu,Crystal Beach,28.35599878035382,36.28971651473054,N,NA,Burnsville,19002700
2012-08-13,cfu,Crystal Beach,34.76026644886449,43.38843934746375,N,NA,Burnsville,19002700
2012-08-20,cfu,Crystal Beach,14.999999999999998,29.536840008891467,N,NA,Burnsville,19002700
2012-08-27,cfu,Crystal Beach,19.309787692112593,28.470310008994222,N,NA,Burnsville,19002700
2013-06-03,cfu,Crystal Beach,4.93242414866094,4.93242414866094,N,NA,Burnsville,19002700
2013-06-10,cfu,Crystal Beach,19.309787692112593,9.759306487558014,N,NA,Burnsville,19002700
2013-06-17,cfu,Crystal Beach,1.1696070952851465,4.811634566012684,N,NA,Burnsville,19002700
2013-06-24,cfu,Crystal Beach,5.12992784003009,4.889306815689794,N,NA,Burnsville,19002700
2013-07-01,cfu,Crystal Beach,3.825862365544778,4.655257424046389,N,NA,Burnsville,19002700
2013-07-08,cfu,Crystal Beach,74.03018004426131,8.00227329557933,N,NA,Burnsville,19002700
2013-07-15,cfu,Crystal Beach,105.5526417580815,11.2396218810457,N,NA,Burnsville,19002700
2013-07-22,cfu,Crystal Beach,17.380133224432246,19.28209962913927,N,NA,Burnsville,19002700
2013-07-29,cfu,Crystal Beach,0.6299605249474366,12.676365083100745,N,NA,Burnsville,19002700
2013-08-05,cfu,Crystal Beach,30.36588971875662,19.18342162681946,N,NA,Burnsville,19002700
2013-08-12,cfu,Crystal Beach,12.428930023815434,13.425518259897967,N,NA,Burnsville,19002700
2013-08-19,cfu,Crystal Beach,109.86208611415935,13.533396515452749,N,NA,Burnsville,19002700
2013-08-20,cfu,Crystal Beach,4.762203155904598,11.37121816226459,N,NA,Burnsville,19002700
2013-08-27,cfu,Crystal Beach,9.435387960633065,10.270496412915055,N,NA,Burnsville,19002700
2014-05-27,mpn,Crystal Beach,9.524406311809196,9.524406311809196,N,NA,Burnsville,19002700
2014-06-03,mpn,Crystal Beach,97.98639266852821,30.549340693434683,N,NA,Burnsville,19002700
2014-06-09,mpn,Crystal Beach,64.83587786081856,39.259041578205725,N,NA,Burnsville,19002700
2014-06-16,mpn,Crystal Beach,37.898157585938264,38.914306403648574,N,NA,Burnsville,19002700
2014-06-23,mpn,Crystal Beach,95.53712362070031,46.57167602421397,N,NA,Burnsville,19002700
2014-06-30,mpn,Crystal Beach,37.3451147624219,61.20699308883661,N,NA,Burnsville,19002700
2014-07-07,mpn,Crystal Beach,23.434706333684844,45.97691144829255,N,NA,Burnsville,19002700
2014-07-14,mpn,Crystal Beach,36.88098108478716,41.07118256172221,N,NA,Burnsville,19002700
2014-07-22,mpn,Crystal Beach,175.04106104789875,55.77525642929853,N,NA,Burnsville,19002700
2014-07-28,mpn,Crystal Beach,9.699557141364243,35.29860354305069,N,NA,Burnsville,19002700
2014-08-04,mpn,Crystal Beach,20.608545799226754,31.34153294123747,N,NA,Burnsville,19002700
2014-08-11,mpn,Crystal Beach,196.44655229150553,47.950949744085136,N,NA,Burnsville,19002700
2014-08-19,mpn,Crystal Beach,819.7150110177943,89.1598436100855,N,NA,Burnsville,19002700
2014-08-25,mpn,Crystal Beach,31.50354608604813,63.27223839677595,N,NA,Burnsville,19002700
2015-05-27,mpn,Crystal Beach,12.962487519775763,12.962487519775763,N,NA,Burnsville,19002700
2015-06-01,mpn,Crystal Beach,2.581325761348065,5.784496777244324,N,NA,Burnsville,19002700
