Date,BeachName,Ecoli_1dGM,Notes,Ecoli_30dGM,ClosureYN,ClosureReason,Ecoli_units,MonitoringOrg,DOW
2024-08-12,Pleasant,0.5,None,0.9502991493289865,N,NA,mpn,Wright County,86025100
2024-08-19,Pleasant,0.5,None,0.8272834597481767,N,NA,mpn,Wright County,86025100
2024-08-26,Pleasant,2,None,0.9502991493289865,N,NA,mpn,Wright County,86025100
2025-05-19,Pleasant,1,Open,1,N,NA,mpn,Wright County,86025100
2025-05-22,Pleasant,71.2,None,8.438009243891594,N,NA,mpn,Wright County,86025100
2025-05-27,Pleasant,1,Open,4.144702196118522,N,NA,mpn,Wright County,86025100
2025-06-02,Pleasant,12.052800504447088,Open,6.352302716319214,N,NA,mpn,Wright County,86025100
2025-06-10,Pleasant,0.5,Open,4.158509095885316,N,NA,mpn,Wright County,86025100
2025-06-16,Pleasant,15.8,Open,5.032163199024576,N,NA,mpn,Wright County,86025100
2025-06-24,Pleasant,2,Open,3.6319414377914363,N,NA,mpn,Wright County,86025100
2025-06-30,Pleasant,2.8635642126552705,Open,4.080034537506716,N,NA,mpn,Wright County,86025100
2025-07-07,Pleasant,4.1,Open,2.845831175547713,N,NA,mpn,Wright County,86025100
2025-07-14,Pleasant,6.3,Open,4.341144314650597,N,NA,mpn,Wright County,86025100
2025-07-21,Pleasant,12.2,Open,4.158033788781381,N,NA,mpn,Wright County,86025100
2016-08-03,Schroeder,10.9,None,10.9,N,NA,mpn,Wright County,NA
2017-07-12,Schroeder,42,None,42,N,NA,mpn,Wright County,NA
2017-09-12,Schroeder,1046.2,Closed,1046.2,Y,Ecoli_30dGM,mpn,Wright County,NA
2018-06-06,Schroeder,3,None,3,N,NA,mpn,Wright County,NA
2018-08-13,Schroeder,1,None,1,N,NA,mpn,Wright County,NA
2019-08-06,Schroeder,24.2,None,24.2,N,NA,mpn,Wright County,NA
2020-05-27,Schroeder,7.5,None,7.5,N,NA,mpn,Wright County,NA
2020-06-23,Schroeder,48.7,None,19.11151485361639,N,NA,mpn,Wright County,NA
2020-07-21,Schroeder,42,None,45.226098659955184,N,NA,mpn,Wright County,NA
2020-07-28,Schroeder,686.7,Closed,169.82755960090813,Y,Ecoli_30dGM,mpn,Wright County,NA
2020-08-05,Schroeder,9.779088280332664,Reopen,22.10554198056849,N,NA,mpn,Wright County,NA
2020-08-11,Schroeder,4.1,None,17.907563651706692,N,NA,mpn,Wright County,NA
2020-09-16,Schroeder,1,None,1,N,NA,mpn,Wright County,NA
2021-06-07,Schroeder,10.9,None,10.9,N,NA,mpn,Wright County,NA
2021-07-28,Schroeder,25.6,None,25.6,N,NA,mpn,Wright County,NA
2022-07-05,Schroeder,47.9,None,47.9,N,NA,mpn,Wright County,NA
2022-08-08,Schroeder,1,None,1,N,NA,mpn,Wright County,NA
2022-08-31,Schroeder,2,None,1.4142135623730951,N,NA,mpn,Wright County,NA
